area_type,availability,size(BHK),total_sqft,bath,balcony,price,location,price_per_sqft
Super built-up  Area,19-Dec,2.0,1056.0,2.0,1.0,39.07,Alandi Road,3699.810606060606
Plot  Area,Ready To Move,4.0,2600.0,5.0,3.0,120.0,Ambegaon Budruk,4615.384615384615
Built-up  Area,Ready To Move,3.0,1440.0,2.0,3.0,62.0,Anandnagar,4305.555555555556
Super built-up  Area,Ready To Move,3.0,1521.0,3.0,1.0,95.0,Aundh,6245.890861275477
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,1.0,51.0,Aundh Road,4250.0
Super built-up  Area,Ready To Move,2.0,1170.0,2.0,1.0,38.0,Balaji Nagar,3247.863247863248
Super built-up  Area,18-May,4.0,2732.0,4.0,1.5845003933910307,204.0,Baner,7467.0571010248905
Super built-up  Area,Ready To Move,4.0,3300.0,4.0,1.5845003933910307,600.0,Baner road,18181.81818181818
Super built-up  Area,Ready To Move,3.0,1310.0,3.0,1.0,63.25,Bhandarkar Road,4828.244274809161
Plot  Area,Ready To Move,6.0,1020.0,6.0,1.5845003933910307,370.0,Bhavani Peth,36274.509803921566
Super built-up  Area,18-Feb,3.0,1800.0,2.0,2.0,70.0,Bibvewadi,3888.8888888888887
Plot  Area,Ready To Move,4.0,2785.0,5.0,3.0,295.0,Bopodi,10592.45960502693
Super built-up  Area,Ready To Move,2.0,1000.0,2.0,1.0,38.0,Budhwar Peth,3800.0
Built-up  Area,Ready To Move,2.0,1100.0,2.0,2.0,40.0,Bund Garden Road,3636.3636363636365
Plot  Area,Ready To Move,3.0,2250.0,3.0,2.0,148.0,Camp,6577.777777777777
Super built-up  Area,Ready To Move,2.0,1175.0,2.0,2.0,73.5,Chandan Nagar,6255.31914893617
Super built-up  Area,Ready To Move,3.0,1180.0,3.0,2.0,48.0,Dapodi,4067.7966101694915
Super built-up  Area,Ready To Move,3.0,1540.0,3.0,3.0,60.0,Deccan Gymkhana,3896.103896103896
Super built-up  Area,Ready To Move,3.0,2770.0,4.0,2.0,290.0,Dehu Road,10469.314079422382
Super built-up  Area,Ready To Move,2.0,1100.0,2.0,2.0,48.0,Dhankawadi,4363.636363636364
Built-up  Area,Ready To Move,1.0,600.0,1.0,1.0,15.0,Dhayari Phata,2500.0
Super built-up  Area,19-Dec,3.0,1755.0,3.0,1.0,122.0,Dhole Patil Road,6951.5669515669515
Plot  Area,Ready To Move,4.0,2800.0,5.0,2.0,380.0,Erandwane,13571.42857142857
Super built-up  Area,Ready To Move,3.0,1767.0,3.0,1.0,103.0,Fatima Nagar,5829.088851160159
Super built-up  Area,18-Nov,1.0,510.0,1.0,0.0,25.25,Fergusson College Road,4950.980392156863
Super built-up  Area,18-May,3.0,1250.0,3.0,2.0,56.0,Ganesh Peth,4480.0
Super built-up  Area,Ready To Move,2.0,660.0,1.0,1.0,23.1,Ganeshkhind,3500.0
Built-up  Area,20-Dec,3.0,1610.0,3.0,2.0,81.0,Ghorpade Peth,5031.055900621118
Super built-up  Area,17-Oct,2.0,1151.0,2.0,2.0,48.77,other,4237.185056472633
